resource_id,final_score,rank_position,spectral_centroid_med,spectral_centroid_iqr,spectral_bandwidth_iqr,f0,hnr_med,filenames,amp
643,0.3744051520753782,1,595.7212725531087,642.6911681762517,877.9098265213629,69.6970834057884,32.259995,classic_3_50bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
676,0.3120691356885237,2,659.5264095143131,365.20690643286736,554.2325751004287,73.4161919793519,13.371151,country_5_80bpm_Drive 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
646,0.30455804196060327,3,438.2092100288984,416.8259845520338,747.4452909480301,70.91536696417685,33.56736,classic_3_50bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
722,0.29943299336935864,4,252.19025013418172,141.2194033835247,135.48945570484614,88.83315834800462,29.185818,G53 7-Marshall JCM800.wav,Marshall JCM800
724,0.2965161434456367,5,236.79554969901807,138.78157316504044,118.4228175435914,88.83315834800462,27.487083,G53 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
649,0.2959916376648621,6,739.4025992363903,707.4742563515453,893.8360694548384,71.12314417137306,28.177586,classic_3_50bpm 11-VOXac30 custom.wav,VOXac30 custom
679,0.2873338263193992,7,407.7946619459423,191.10260204598404,367.27565464354274,84.82159539743674,25.870142,E1-Major 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
672,0.2849512630877494,8,511.6626631307117,217.6436773084675,722.9758270267423,78.23233100085048,13.916459,country_5_80bpm_Drive 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
706,0.2841190682511563,9,321.47718481727435,328.2958097390235,558.7357455928582,66.16637698451642,28.824493,FS_Lick7_MN 5-Fender deluxe reverb.wav,Fender deluxe reverb
673,0.27862238218151436,10,677.6793666421938,271.01568051966444,770.1461209949721,73.4161919793519,11.650762,country_5_80bpm_Drive 7-Marshall JCM800.wav,Marshall JCM800
657,0.27551463938075577,11,742.5919391606487,328.47616455621744,359.8040291019083,92.4986056779086,18.334593,classic_5_100bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
707,0.2558845579059815,12,261.3697584676529,223.32920157652484,379.33008680221246,73.4161919793519,29.56088,FS_Lick7_MN 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
709,0.25138180073675004,13,279.03604321502485,284.29205143156406,544.5005739818752,72.99334582862124,28.692997,FS_Lick7_MN 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
695,0.24946593183207824,14,333.33342023104166,85.73527875341176,72.12620391791825,82.40688922821748,46.816956,FS_Harmonic 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
723,0.24564143681251363,15,224.21906312677103,135.37830688889952,175.16618997754563,88.83315834800462,31.821205,G53 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
663,0.2392797992586462,16,792.7279071465989,299.11117743700174,391.2230943553926,92.4986056779086,20.195335,classic_5_100bpm 11-VOXac30 custom.wav,VOXac30 custom
660,0.23065958578472207,17,563.931054049826,204.6610848627232,319.2352464337914,92.4986056779086,20.546299,classic_5_100bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
648,0.22317860444521304,18,670.9018504408793,618.6382155883443,810.7664193742625,70.10083450255941,28.707981,classic_3_50bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
645,0.21831191815751436,19,470.36266958470463,397.1587779918365,660.8047330859195,69.29565774421802,33.50761,classic_3_50bpm 7-Marshall JCM800.wav,Marshall JCM800
655,0.2179211130421616,20,776.2636485748817,238.9387190647908,254.1678049030096,65.40639132514966,14.788665,classic_3_60bpm_Drive 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
