spectral_centroid_med,spectral_centroid_iqr,spectral_bandwidth_iqr,f0,hnr_med,resource_id
776.2636485748817,238.9387190647908,254.1678049030096,65.40639132514966,14.788665,655
224.21906312677103,135.37830688889952,175.16618997754563,88.83315834800462,31.821205,723
1251.4380353951872,429.6115764679905,257.684961681181,65.40639132514966,9.491773,762
774.9140969625307,627.3683503408046,1090.3811099430416,97.153836598418,13.254953,675
647.2313573520365,401.02995176863055,410.1272293486958,82.88426748110167,22.304646,801
576.6274837851729,219.83314010588788,373.6999100518847,65.40639132514966,21.320353,758
958.6884850576246,304.37952906783903,345.2198318158089,65.7852866955572,14.169221,654
516.4611889687867,370.3246849129745,554.9720057249691,84.82159539743674,23.676735,681
659.5264095143131,365.20690643286736,554.2325751004287,73.4161919793519,13.371151,676
219.06534842195163,177.63959150385944,195.89648780680716,73.4161919793519,36.341396,720
465.5566872989343,242.0058771129565,334.1092124960867,70.10083450255941,19.319197,793
309.99654963293153,367.22792019440175,596.0219502551312,78.23233100085048,27.712805,710
681.3012726848989,599.1143164430096,725.4408659944504,86.30425076864258,22.621033,682
622.5601973396211,177.16363230017862,382.50859358809794,206.4563592676515,50.38876,632
671.5157557178367,453.0387458038167,361.5602445222753,83.8473362790669,25.425522,797
511.6626631307117,217.6436773084675,722.9758270267423,78.23233100085048,13.916459,672
633.647809547057,121.39561374631126,109.20187511932215,65.40639132514966,14.999237,651
641.4576391777324,392.9061236873624,375.3802210556004,65.40639132514966,19.88155,790
279.03604321502485,284.29205143156406,544.5005739818752,72.99334582862124,28.692997,709
939.0601497642184,702.3586594802018,956.0591277680837,73.84148765291448,11.386782,677
918.6796943143664,273.6313190286089,198.2596792954522,65.40639132514966,12.429127,652
677.6793666421938,271.01568051966444,770.1461209949721,73.4161919793519,11.650762,673
378.58649835155086,68.48703676482688,174.60228555231004,82.40688922821748,44.410538,696
948.2231824314855,342.2490549801164,360.9111655458205,113.87914162255151,10.434652,729
536.7414019085912,324.0583732111643,370.9007192390785,70.10083450255941,21.161537,685
632.323501755462,367.2206820236348,437.7528770092316,69.6970834057884,19.906927,691
563.876195732786,311.960020908699,369.41988144870277,83.3644111580719,25.084906,800
780.8080214287315,550.378156411498,930.2958933055282,68.10519982075922,14.522671,671
1347.817800527078,1383.0439347710242,1069.8667612310203,82.88426748110167,16.950989,775
780.0469290262859,215.48920705903902,222.67714756299517,65.40639132514966,12.943071,653
764.2704149826546,517.3638930952964,533.1500722098247,77.33375603922921,13.677312,776
796.4683809773544,629.9255793362173,655.4313479838996,82.88426748110167,19.305964,684
333.33342023104166,85.73527875341176,72.12620391791825,82.40688922821748,46.816956,695
1146.336304568688,406.0606005964298,525.2630478240471,69.6970834057884,8.436523,733
532.5705390581669,269.16934690119433,224.64225053433745,103.22817963382575,20.970005,690
438.83089510801983,231.47529493791018,333.51204922968407,70.50692450564009,21.633242,688
407.79466194594227,191.10260204598404,367.27565464354274,84.82159539743674,25.870142,679
982.3160918211504,757.671355169032,761.7394988524929,65.40639132514966,15.951649,664
1211.6158282733102,653.296329873192,417.36188651083137,219.99999999999997,26.711617,713
604.3340382157263,316.52691405214955,720.3917315531883,76.88834637984607,12.914701,674
903.5796584675397,442.9163571756202,683.906547996134,90.91560141999827,11.534761,731
950.2746207562046,319.096829182027,301.9403056533074,93.84442026484018,9.901589,765
721.398639079546,317.6545410245724,455.6296631307903,65.40639132514966,21.602161,755
528.4142111694694,259.8735083454814,354.15616112679663,71.32617550580554,18.433254,792
1028.527895141079,778.9780029075243,725.3660880815173,66.16637698451642,17.063786,783
805.4943730722414,940.8822171903864,1009.5148672607806,82.40688922821748,22.756453,772
764.4761061907502,522.7251277539822,708.5292277542775,65.40639132514966,15.129822,667
438.20921002889844,416.82598455203384,747.4452909480301,70.91536696417685,33.56736,646
662.1042925346505,407.7133564269418,522.9708745949348,79.59980805922079,13.334428,779
1147.2513229383242,914.8349351680351,768.2626872259057,66.54967490706109,14.41616,789
563.931054049826,204.66108486272316,319.2352464337914,92.4986056779086,20.546299,660
1170.7608347978694,297.03428207551406,238.82720945018195,65.7852866955572,11.465177,656
1018.1109040898084,375.99420056493204,442.1581792274619,65.40639132514966,11.400829,727
595.7212725531087,642.6911681762517,877.9098265213629,69.6970834057884,32.259995,643
739.4025992363903,707.4742563515453,893.8360694548384,71.12314417137306,28.177586,649
938.962260493559,301.5779481860709,229.14192445390222,65.40639132514966,13.552934,650
667.1731562626551,522.6264404383926,558.9768040344203,82.40688922821748,23.517017,678
321.47718481727435,328.2958097390235,558.7357455928582,66.16637698451642,28.824493,706
261.3697584676529,223.32920157652484,379.33008680221246,73.4161919793519,29.56088,707
414.91973969143623,408.48603154827015,558.2437902163075,66.74243407947179,22.067055,712
236.79554969901807,138.78157316504044,118.4228175435914,88.83315834800462,27.487083,724
734.6146825522486,93.0283213841983,76.4737291601615,83.3644111580719,15.177502,739
1001.9554368781451,284.787759996919,279.3273082761243,73.4161919793519,11.368226,767
757.1619064718386,544.5241348440079,738.6758576715248,70.91536696417685,19.318739,786
719.2387313459352,361.3289970821852,285.6222182961442,82.88426748110167,25.6153,802
709.7266900827715,501.15377182136376,471.56447946552964,166.7288223161438,22.105122,803
1176.094049701702,1265.6003882021187,956.724606482946,82.40688922821748,20.523037,769
782.0870525966129,346.3377281929754,494.16414388061685,92.4986056779086,21.305222,661
429.7417259526263,128.01058110450612,133.86817410785943,82.40688922821748,41.99785,698
386.7560962506964,174.44447827540858,229.99734073791183,70.50692450564009,22.03246,686
958.2833649851415,380.7855192318775,166.5285809780479,175.62564499846297,31.72913,742
842.0900732517965,503.4855881165903,677.0130246479486,65.40639132514966,15.447857,666
651.0161199871051,406.93710235193726,634.7440585685872,65.7852866955572,15.564367,665
915.2256104166092,403.82768650196977,190.7659690173416,175.62564499846297,38.862186,701
898.736322555327,443.47472018358326,333.6136793088808,219.99999999999997,29.939585,714
848.7739729774358,590.3140888177734,659.6262209702218,66.54967490706109,19.893768,785
628.4511717076941,370.6509889515107,479.86551891748707,88.32151700497141,18.391914,794
666.8052621185016,356.79024121172154,436.17719419405626,85.06727864914606,16.835243,795
1263.1505846682428,475.57745963090997,278.81642736273056,175.62564499846297,28.205898,743
802.468479211484,458.1666052745122,261.9160078097525,175.62564499846297,37.845085,700
476.0358647551707,207.17878351306513,265.00969277033846,91.96585291173604,19.818905,658
1205.9407408027118,475.484541867233,402.5004106096392,175.62564499846297,30.277987,745
588.3082381518418,304.48990377631236,634.3284157486389,65.40639132514966,27.563208,753
1079.3513632678275,395.7290795023075,162.4171558976127,219.99999999999997,24.101234,718
1092.2869290867068,527.8254029193827,567.035312920953,104.42763330455712,17.473934,774
706.6894316354059,254.36909175305436,519.1655144892236,206.4563592676515,32.11953,634
1565.525276667591,385.7574021567068,214.4797631056972,221.27444703492776,32.014297,642
1248.071987914961,713.2361216004163,592.3321652783793,219.99999999999997,28.402504,719
718.3527871729907,216.3268459262938,305.8803587925032,65.40639132514966,19.562933,760
352.4102285332753,270.22841324404607,563.345496959007,69.6970834057884,36.377026,644
1259.125177964837,286.3447925363066,248.2605043090034,221.27444703492776,34.747845,640
740.8057637849156,820.0961223163868,1017.5126306568881,74.26924703925044,29.687654,647
217.91517499831053,125.90624392446614,484.1160678475077,65.40639132514966,50.239265,752
673.3589841655642,811.195933721564,960.4291076176759,82.40688922821748,25.413887,770
633.42151227713,167.35360786549336,494.8145241793155,206.4563592676515,48.37477,631
1100.0448638146747,414.47334023900953,217.11680841846317,175.62564499846297,24.17444,746
902.659107891285,968.9455091880218,893.0874866057419,82.40688922821748,22.097137,771
1315.1132789199562,274.70424558350555,223.85793835037362,221.27444703492776,32.410187,638
643.0003686646843,354.3116972071358,446.8844450107033,86.30425076864258,21.449863,683
1114.7662716842501,876.6283710386797,888.5562452132942,86.80420620725057,17.084564,787
1077.4615235455813,200.24244561531373,153.97827137514264,221.27444703492776,32.617496,637
470.36266958470463,397.1587779918365,660.8047330859195,69.29565774421802,33.50761,645
1144.286535508327,452.20177513819215,150.3107623489833,176.1343395042029,37.185715,699
717.7205317954283,692.1237054382859,1001.624078393176,65.40639132514966,35.88626,754
535.1936564635242,273.9179421632351,287.3342755326609,82.88426748110167,26.884012,798
1093.1545598523594,585.8964400848781,588.3642702966133,219.99999999999997,28.738672,715
914.6680126866971,488.47468207951863,523.5274612122212,85.36420311659444,19.585924,759
1095.314301403183,242.2874882430765,117.22605157081694,221.27444703492776,32.711266,641
1014.2828146728807,577.6196178615776,602.1346548216707,65.40639132514966,12.730264,669
